"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"154","lw366a428","Site1","APP-PS1","C57BL6","Male","4","dPAL Acquisition 1",1
"155","gt80x172","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"156","gt80x173","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"157","gt81x175","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"158","gt81x176","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"159","gt81x177","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"160","gt82x179","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"161","gt82x180","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"162","gt82x182","Site2","3xTG-AD","3xTG-AD","Female","10","dPAL Acquisition 2",1
"163","gt104f216","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"164","gt104f217","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"165","gt104f219","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"166","gt105f220","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"167","gt105f221","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"168","gt105f222","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"169","gt106f224","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"170","gt106f225","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"171","gt106f226","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"172","gt107f228","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"173","gt107f229","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"174","gt107f230","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"175","gt107f231","Site2","5xFAD","5xFAD","Female","10","dPAL Acquisition 2",1
"176","gw77x159","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"177","gw77x160","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"178","gw78x163","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"179","gw78x164","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"180","gw78x165","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"181","gw79x167","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"182","gw79x168","Site2","3xTG-AD","B6129SF2/J","Female","10","dPAL Acquisition 2",1
"183","gw100f200","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"184","gw100f202","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"185","gw100f203","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"186","gw102f208","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"187","gw102f209","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"188","gw102f211","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"189","gw103f212","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
"190","gw103f213","Site2","5xFAD","B6SJLF1/J","Female","10","dPAL Acquisition 2",1
