"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"205","gw101f205","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"206","gw101f206","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"207","gw101f207","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"208","gw102f208","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"209","gw102f209","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"210","gw102f210","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"211","gw102f211","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"212","gw103f212","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"213","gw103f213","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"214","gw103f214","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"215","gw103f215","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"216","gw152a332","Site2","APP-PS1","C57BL6","Female","4","Phase II",4
"217","gw152a334","Site2","APP-PS1","C57BL6","Female","4","Phase II",1
"218","gw152a335","Site2","APP-PS1","C57BL6","Female","4","Phase II",3
"219","gw153a336","Site2","APP-PS1","C57BL6","Female","4","Phase II",1
"220","gw153a337","Site2","APP-PS1","C57BL6","Female","4","Phase II",1
"221","gw154a338","Site2","APP-PS1","C57BL6","Female","4","Phase II",2
"222","gw154a339","Site2","APP-PS1","C57BL6","Female","4","Phase II",2
"223","gw155a343","Site2","APP-PS1","C57BL6","Female","4","Phase II",7
"224","gw155a344","Site2","APP-PS1","C57BL6","Female","4","Phase II",1
"225","gw155a345","Site2","APP-PS1","C57BL6","Female","4","Phase II",3
"226","gw156a346","Site2","APP-PS1","C57BL6","Female","4","Phase II",1
"227","gw156a347","Site2","APP-PS1","C57BL6","Female","4","Phase II",1
"228","lt80x142","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",2
"229","lt81x143","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",2
"230","lt82x144","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"231","lt83x145","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"232","lt84x146","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"233","lt85x147","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",2
"234","lt86x148","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",4
"235","lt87x149","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",3
"236","lt88x150","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"237","lt89x151","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"238","lt90x152","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"239","lt91x153","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",1
"240","lt92x154","Site1","3xTG-AD","3xTG-AD","Male","4","Phase II",4
"241","lt264f326","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"242","lt265f327","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"243","lt266f328","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"244","lt267f329","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"245","lt268f330","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"246","lt269f331","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"247","lt270f332","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"248","lt271f333","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"249","lt272f334","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"250","lt273f335","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"251","lt274f336","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"252","lt275f337","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"253","lt276f338","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"254","lt277f339","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"255","lt278f340","Site1","5xFAD","5xFAD","Male","4","Phase II",1
"256","lt367a429","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"257","lt368a430","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"258","lt369a431","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"259","lt370a432","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"260","lt373a435","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"261","lt374a436","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"262","lt375a437","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"263","lt376a438","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"264","lt377a439","Site1","APP-PS1","APPPS1","Male","4","Phase II",1
"265","lw65x127","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"266","lw66x128","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"267","lw67x129","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"268","lw68x130","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"269","lw69x131","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",3
"270","lw70x132","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"271","lw71x133","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"272","lw72x134","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"273","lw73x135","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"274","lw74x136","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"275","lw75x137","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"276","lw76x138","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"277","lw77x139","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"278","lw78x140","Site1","3xTG-AD","B6129SF2/J","Male","4","Phase II",1
"279","lw248f310","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"280","lw249f311","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"281","lw250f312","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"282","lw251f313","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"283","lw253f315","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"284","lw254f316","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"285","lw255f317","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"286","lw256f318","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"287","lw257f319","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"288","lw258f320","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"289","lw259f321","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"290","lw260f322","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"291","lw261f323","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"292","lw262f324","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"293","lw263f325","Site1","5xFAD","B6SJLF1/J","Male","4","Phase II",1
"294","lw353a415","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"295","lw354a416","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"296","lw355a417","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"297","lw356a418","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"298","lw357a419","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"299","lw358a420","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"300","lw359a421","Site1","APP-PS1","C57BL6","Male","4","Phase II",2
"301","lw360a422","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"302","lw361a423","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"303","lw362a424","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"304","lw363a425","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"305","lw364a426","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"306","lw365a427","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"307","lw366a428","Site1","APP-PS1","C57BL6","Male","4","Phase II",1
"308","gt80x171","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"309","gt80x172","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"310","gt80x173","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"311","gt81x175","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",4
"312","gt81x176","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"313","gt81x177","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"314","gt81x178","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"315","gt82x179","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"316","gt82x180","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"317","gt82x181","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"318","gt82x182","Site2","3xTG-AD","3xTG-AD","Female","4","Phase III",1
"319","gt104f216","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"320","gt104f217","Site2","5xFAD","5xFAD","Female","4","Phase III",1
"321","gt104f219","Site2","5xFAD","5xFAD","Female","4","Phase III",1
