"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"66","GUE5C3XTG10MF","gw07x010","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-20,NA,2084.833,50,46.45,56.25,62,65.15,64.85,45,35,33.3335,32.5,36
"67","GUE5C3XTG10MF","gw08x011","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,1191.042,50,91.65,96.65,85,88.15,87.25,25,27.5,33.333,37.5,38
"68","GUE5C3XTG10MF","gw58x097","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-25,NA,1215.512,50,78.75,70.15,72.65,75.4,75.2,10,10,10,10,9
"69","GUE5C3XTG10MF","gw58x098","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-30,NA,1384.8005,50,80.35,71.95,69.7,69.8,66.7,25,20,23.3335,30,34
"70","GUE5C3XTG10MF","gw58x099","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-13,NA,3600,42,90,91.65,87.5,88.9,100,65,75,73.333,73.75,72.917
"71","GUE5C3XTG10MF","gw59x101","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-25,NA,1029.262,50,72.8,81.95,79.6,78.05,77.5,5,2.5,1.6665,2.5,6
"72","GUE5C3XTG10MF","gw59x102","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-30,NA,1087.032,50,72.5,77.5,77.3,78.6,78.3,10,12.5,11.667,12.5,12
"73","GUE5C3XTG10MF","gw60x103","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-13,NA,1694.998,50,58.95,66.05,63.35,67.25,69.95,25,25,26.6665,27.5,31
"74","GUE5C3XTG10MF","gw60x104","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2015-07-18,NA,1192.0905,50,83.35,78.35,72.25,72.65,71.4,30,30,25,20,24
"75","LON5C5FAD10MF","lw37f073","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-05,NA,1493.6055,50,62.5,68.75,69.45,67.75,69.25,50,60,50,50,43
"76","LON5C5FAD10MF","lw37f074","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,1890.846,50,100,79.15,80.35,75,74.45,80,65,63.333,62.5,60
"77","LON5C5FAD10MF","lw41f081","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-05,NA,1464.93,50,72.85,76.7,70.85,75,71.75,40,32.5,33.3335,37.5,39
