"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"106","GUE5CAPP10MF","gw108a234","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,2459.645,50,15.74,35.83,43.745,49.415,52.6,54.40285,65.00885,61.6395,59.1594,51.7797
"107","GUE5CAPP10MF","gw108a235","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-29,NA,1943.64,50,40.25,45.91,50.26,56.425,61.24,43.9741,35.7405,28.94855,33.1625,34.2815
"108","GUE5CAPP10MF","gw128a237","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-10,NA,1476.7845,50,47.93,80.9,84.6,86.115,87.815,65.88105,59.68915,45.7215,38.4698,34.6958
"109","GUE5CAPP10MF","gw129a238","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,1797.99,50,48.16,68.015,57.235,60.485,64.85,36.82145,27.4612,26.434,25.68785,25.4631
"110","GUE5CAPP10MF","gw129a239","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-29,NA,1206.3135,50,94.575,84.855,84.585,83.95,84.6,21.6845,14.7483,15.16545,14.3468,15.036
"111","GUE5CAPP10MF","gw130a241","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-10,NA,1806.7805,50,90.575,85.595,80.15,83.495,82.65,28.4762,38.91435,36.328,36.42425,37.0729
"112","GUE5CAPP10MF","gw131a242","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,2654.8355,50,10.67,36.71,48.355,49.97,48.26,54.8829,37.1525,37.95685,39.75805,45.0218
"113","GUE5CAPP10MF","gw131a243","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-29,NA,2867.1805,50,62.41,82.905,87.175,81.315,82.235,44.6805,30.3085,28.1263,31.92805,35.3385
"114","GUE5CAPP10MF","gw132a244","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-05,NA,1452.77,50,42.4,70.89,65.625,63.86,64.675,58.95235,25.01985,29.2563,30.9881,36.89695
"115","GUE5CAPP10MF","gw133a246","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-02-23,NA,2330.0025,50,21.435,55.195,64.56,61.51,58.11,52.4662,35.47715,24.6916,25.7944,26.66395
"116","LON5C3XTG10MM","lt03x009","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-09-30,NA,3125.083,50,56.68,43,43.82,50.16,48.7,64.1866,66.4441,68.8862,55.1516,51.2481
"117","LON5C3XTG10MM","lt03x010","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-06,NA,3600,5,60,NA,NA,NA,NA,75.3334,NA,NA,NA,NA
"118","LON5C3XTG10MM","lt04x011","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-15,NA,1780.849,50,80,88.825,83.68,83.05,79.085,61.53975,39.76825,28.46385,27.62665,25.85845
"119","LON5C3XTG10MM","lt07x013","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-09-29,NA,2304.0815,50,26.245,33.875,51.775,55.88,52.78,71.893,55.84585,41.04615,36.4238,35.4683
"120","LON5C3XTG10MM","lt07x014","Site1","3xTG-AD","3xTG-AD","Male","10","0.6",2014-10-04,NA,2164.0045,50,38.245,52.13,51.99,51.015,51.52,53.258,49.07145,47.0837,44.69845,46.1576
