"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Day"
"94","lw37f074","Site1","5xFAD","B6SJLF1/J","Female","4","2",3
"95","lw38f076","Site1","5xFAD","B6SJLF1/J","Female","4","2",3
"96","lw41f081","Site1","5xFAD","B6SJLF1/J","Female","4","2",3
"97","lw41f082","Site1","5xFAD","B6SJLF1/J","Female","4","2",10
"98","lw42f083","Site1","5xFAD","B6SJLF1/J","Female","4","2",10
"99","lw42f084","Site1","5xFAD","B6SJLF1/J","Female","4","2",9
"100","lw45f089","Site1","5xFAD","B6SJLF1/J","Female","4","2",6
"101","lw45f090","Site1","5xFAD","B6SJLF1/J","Female","4","2",4
"102","lw46f091","Site1","5xFAD","B6SJLF1/J","Female","4","2",3
"103","lw46f092","Site1","5xFAD","B6SJLF1/J","Female","4","2",5
"104","gw01f001","Site2","5xFAD","B6SJLF1/J","Female","4","2",4
"105","gw01f002","Site2","5xFAD","B6SJLF1/J","Female","4","2",3
"106","gw02f003","Site2","5xFAD","B6SJLF1/J","Female","4","2",6
"107","gw03f005","Site2","5xFAD","B6SJLF1/J","Female","4","2",32
"108","gw03f006","Site2","5xFAD","B6SJLF1/J","Female","4","2",10
"109","gw04f007","Site2","5xFAD","B6SJLF1/J","Female","4","2",10
"110","gw04f008","Site2","5xFAD","B6SJLF1/J","Female","4","2",10
"111","gw05f009","Site2","5xFAD","B6SJLF1/J","Female","4","2",9
"112","gw05f010","Site2","5xFAD","B6SJLF1/J","Female","4","2",6
"113","gw06f011","Site2","5xFAD","B6SJLF1/J","Female","4","2",9
"114","gw06f012","Site2","5xFAD","B6SJLF1/J","Female","4","2",13
"115","lw185a247","Site1","APP-PS1","C57BL6","Female","4","2",3
"116","lw186a248","Site1","APP-PS1","C57BL6","Female","4","2",21
"117","lw189a251","Site1","APP-PS1","C57BL6","Female","4","2",19
"118","lw190a252","Site1","APP-PS1","C57BL6","Female","4","2",18
"119","lw193a255","Site1","APP-PS1","C57BL6","Female","4","2",3
"120","lw194a256","Site1","APP-PS1","C57BL6","Female","4","2",22
"121","lw198a260","Site1","APP-PS1","C57BL6","Female","4","2",29
"122","lw201a263","Site1","APP-PS1","C57BL6","Female","4","2",20
"123","lw202a264","Site1","APP-PS1","C57BL6","Female","4","2",4
"124","lw206a268","Site1","APP-PS1","C57BL6","Female","4","2",3
"125","lw209a271","Site1","APP-PS1","C57BL6","Female","4","2",5
"126","lw210a272","Site1","APP-PS1","C57BL6","Female","4","2",17
"127","lw213a275","Site1","APP-PS1","C57BL6","Female","4","2",11
"128","gw108a232","Site2","APP-PS1","C57BL6","Female","4","2",5
"129","gw108a233","Site2","APP-PS1","C57BL6","Female","4","2",6
"130","gw108a234","Site2","APP-PS1","C57BL6","Female","4","2",19
"131","gw108a235","Site2","APP-PS1","C57BL6","Female","4","2",23
"132","gw128a237","Site2","APP-PS1","C57BL6","Female","4","2",29
"133","gw129a238","Site2","APP-PS1","C57BL6","Female","4","2",7
"134","gw129a239","Site2","APP-PS1","C57BL6","Female","4","2",5
"135","gw130a241","Site2","APP-PS1","C57BL6","Female","4","2",5
"136","gw131a242","Site2","APP-PS1","C57BL6","Female","4","2",10
"137","gw131a243","Site2","APP-PS1","C57BL6","Female","4","2",15
"138","gw132a244","Site2","APP-PS1","C57BL6","Female","4","2",5
"139","gw133a246","Site2","APP-PS1","C57BL6","Female","4","2",3
"140","lt03x009","Site1","3xTG-AD","3xTG-AD","Male","4","2",11
"141","lt03x010","Site1","3xTG-AD","3xTG-AD","Male","4","2",15
"142","lt04x011","Site1","3xTG-AD","3xTG-AD","Male","4","2",7
"143","lt04x012","Site1","3xTG-AD","3xTG-AD","Male","4","2",11
"144","lt07x013","Site1","3xTG-AD","3xTG-AD","Male","4","2",10
"145","lt07x014","Site1","3xTG-AD","3xTG-AD","Male","4","2",16
"146","lt08x015","Site1","3xTG-AD","3xTG-AD","Male","4","2",4
"147","lt08x016","Site1","3xTG-AD","3xTG-AD","Male","4","2",7
"148","lt11x021","Site1","3xTG-AD","3xTG-AD","Male","4","2",3
"149","lt11x022","Site1","3xTG-AD","3xTG-AD","Male","4","2",27
"150","lt12x023","Site1","3xTG-AD","3xTG-AD","Male","4","2",5
"151","lt12x024","Site1","3xTG-AD","3xTG-AD","Male","4","2",6
"152","gt07x013","Site2","3xTG-AD","3xTG-AD","Male","4","2",4
"153","gt08x014","Site2","3xTG-AD","3xTG-AD","Male","4","2",3
"154","gt09x015","Site2","3xTG-AD","3xTG-AD","Male","4","2",8
"155","gt10x016","Site2","3xTG-AD","3xTG-AD","Male","4","2",25
"156","gt10x017","Site2","3xTG-AD","3xTG-AD","Male","4","2",4
"157","gt11x018","Site2","3xTG-AD","3xTG-AD","Male","4","2",8
"158","gt12x019","Site2","3xTG-AD","3xTG-AD","Male","4","2",9
"159","gt13x020","Site2","3xTG-AD","3xTG-AD","Male","4","2",5
"160","gt14x021","Site2","3xTG-AD","3xTG-AD","Male","4","2",3
"161","gt15x022","Site2","3xTG-AD","3xTG-AD","Male","4","2",3
"162","gt16x023","Site2","3xTG-AD","3xTG-AD","Male","4","2",6
"163","lt27f053","Site1","5xFAD","5xFAD","Male","4","2",24
"164","lt27f054","Site1","5xFAD","5xFAD","Male","4","2",3
"165","lt28f055","Site1","5xFAD","5xFAD","Male","4","2",11
"166","lt28f056","Site1","5xFAD","5xFAD","Male","4","2",7
"167","lt31f061","Site1","5xFAD","5xFAD","Male","4","2",16
"168","lt31f062","Site1","5xFAD","5xFAD","Male","4","2",28
"169","lt32f063","Site1","5xFAD","5xFAD","Male","4","2",6
"170","lt32f064","Site1","5xFAD","5xFAD","Male","4","2",16
"171","lt35f069","Site1","5xFAD","5xFAD","Male","4","2",3
"172","lt35f070","Site1","5xFAD","5xFAD","Male","4","2",3
"173","lt36f071","Site1","5xFAD","5xFAD","Male","4","2",8
"174","lt36f072","Site1","5xFAD","5xFAD","Male","4","2",8
"175","gt08f013","Site2","5xFAD","5xFAD","Male","4","2",4
"176","gt08f014","Site2","5xFAD","5xFAD","Male","4","2",3
"177","gt09f015","Site2","5xFAD","5xFAD","Male","4","2",44
"178","gt10f016","Site2","5xFAD","5xFAD","Male","4","2",6
"179","gt10f017","Site2","5xFAD","5xFAD","Male","4","2",20
"180","gt11f019","Site2","5xFAD","5xFAD","Male","4","2",21
"181","gt12f020","Site2","5xFAD","5xFAD","Male","4","2",4
"182","gt12f021","Site2","5xFAD","5xFAD","Male","4","2",18
"183","gt13f022","Site2","5xFAD","5xFAD","Male","4","2",3
"184","gt14f023","Site2","5xFAD","5xFAD","Male","4","2",33
"185","gt14f024","Site2","5xFAD","5xFAD","Male","4","2",16
"186","lt172a234","Site1","APP-PS1","APPPS1","Male","4","2",3
"187","lt175a237","Site1","APP-PS1","APPPS1","Male","4","2",3
"188","lt179a241","Site1","APP-PS1","APPPS1","Male","4","2",3
"189","lt180a242","Site1","APP-PS1","APPPS1","Male","4","2",10
"190","lt183a245","Site1","APP-PS1","APPPS1","Male","4","2",4
"191","lt184a246","Site1","APP-PS1","APPPS1","Male","4","2",3
"192","lt225a287","Site1","APP-PS1","APPPS1","Male","4","2",5
"193","lt226a288","Site1","APP-PS1","APPPS1","Male","4","2",7
"194","lt229a291","Site1","APP-PS1","APPPS1","Male","4","2",7
"195","lt230a292","Site1","APP-PS1","APPPS1","Male","4","2",3
"196","gt122a280","Site2","APP-PS1","APPPS1","Male","4","2",5
"197","gt122a281","Site2","APP-PS1","APPPS1","Male","4","2",3
"198","gt122a282","Site2","APP-PS1","APPPS1","Male","4","2",7
"199","gt122a283","Site2","APP-PS1","APPPS1","Male","4","2",12
"200","gt123a284","Site2","APP-PS1","APPPS1","Male","4","2",3
"201","gt123a285","Site2","APP-PS1","APPPS1","Male","4","2",3
"202","gt123a286","Site2","APP-PS1","APPPS1","Male","4","2",3
"203","gt123a287","Site2","APP-PS1","APPPS1","Male","4","2",23
"204","gt124a288","Site2","APP-PS1","APPPS1","Male","4","2",8
"205","gt124a289","Site2","APP-PS1","APPPS1","Male","4","2",5
"206","gt124a290","Site2","APP-PS1","APPPS1","Male","4","2",3
"207","gt124a291","Site2","APP-PS1","APPPS1","Male","4","2",3
"208","gt125a292","Site2","APP-PS1","APPPS1","Male","4","2",3
"209","gt125a293","Site2","APP-PS1","APPPS1","Male","4","2",7
"210","gt125a295","Site2","APP-PS1","APPPS1","Male","4","2",3
"211","lw02x003","Site1","3xTG-AD","B6129SF2/J","Male","4","2",7
"212","lw02x004","Site1","3xTG-AD","B6129SF2/J","Male","4","2",12
"213","lw05x005","Site1","3xTG-AD","B6129SF2/J","Male","4","2",9
"214","lw05x006","Site1","3xTG-AD","B6129SF2/J","Male","4","2",6
"215","lw09x017","Site1","3xTG-AD","B6129SF2/J","Male","4","2",3
"216","lw09x018","Site1","3xTG-AD","B6129SF2/J","Male","4","2",3
"217","lw10x019","Site1","3xTG-AD","B6129SF2/J","Male","4","2",3
"218","lw10x020","Site1","3xTG-AD","B6129SF2/J","Male","4","2",4
