 Animal ID, Site, Mouse strain, Genotype, Gender,SessionType
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw09x014, UOG, 3XTG, w,M,2
 gw108a232, UOG, APPPS1, w,F,2
 gw108a232, UOG, APPPS1, w,F,2
 gw108a232, UOG, APPPS1, w,F,2
 gw108a232, UOG, APPPS1, w,F,2
 gw108a232, UOG, APPPS1, w,F,2
 gw108a233, UOG, APPPS1, w,F,2
 gw108a233, UOG, APPPS1, w,F,2
 gw108a233, UOG, APPPS1, w,F,2
 gw108a233, UOG, APPPS1, w,F,2
 gw108a233, UOG, APPPS1, w,F,2
 gw108a233, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a234, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw108a235, UOG, APPPS1, w,F,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
 gw10f019, UOG, 5FAD, w,M,2
